,user,Database,Python,CloudComputing,DataAnalysis,Containers,MachineLearning,ComputerVision,DataScience,BigData,Chatbot,R,BackendDev,FrontendDev,Blockchain
34,961488,27,0,0,13,0,0,0,7,16,0,0,7,0,4
35,1246308,0,8,0,5,0,5,0,15,0,0,0,4,0,4
36,979308,6,0,10,3,0,0,0,8,3,0,0,8,0,0
37,634975,32,12,8,22,4,9,0,10,23,9,14,9,0,10
38,1383971,11,7,0,7,0,8,0,3,11,0,3,0,0,0
39,685972,10,7,4,4,0,11,0,14,10,0,4,4,0,0
40,630451,3,4,0,0,0,9,0,12,8,0,0,0,0,0
41,1516838,0,0,11,0,16,0,0,0,0,0,0,6,0,0
42,1132926,0,18,0,9,0,18,0,21,0,0,0,0,0,0
43,1281219,0,8,3,0,5,13,0,6,0,0,0,3,0,0
44,1741605,3,5,0,10,0,0,0,13,0,0,0,0,0,0
45,526671,78,3,3,38,0,21,0,34,65,0,10,24,0,4
46,1319023,3,0,6,0,11,0,0,0,3,0,0,6,0,3
47,1208933,11,14,5,11,0,4,0,3,11,0,0,5,0,5
48,784113,9,16,8,16,7,13,0,21,9,3,6,4,0,0
49,1470621,0,6,0,4,0,8,0,20,0,0,0,0,0,0
50,1261677,4,14,6,6,8,3,0,5,4,0,0,0,0,0
51,687207,0,0,0,4,0,0,0,0,0,0,0,0,0,0
52,990745,5,12,8,4,0,5,0,8,0,0,5,0,0,0
53,1624397,14,16,13,18,8,15,0,9,14,0,0,24,0,8
54,735157,29,13,9,21,0,7,0,24,26,0,3,5,0,0
55,972170,32,10,0,15,0,4,0,16,32,0,7,0,0,0
56,876477,33,5,0,22,0,0,0,7,33,0,7,0,0,0
57,1448499,0,11,8,7,3,0,0,18,0,0,0,0,0,0
58,674478,18,0,0,3,0,0,0,0,18,0,0,0,0,0
59,1543855,0,7,5,0,0,3,0,9,0,0,0,7,0,4
60,975617,0,8,5,0,4,3,0,9,0,0,0,0,0,0
61,1205605,0,0,0,0,0,0,0,0,0,0,0,24,12,0
62,1033776,16,0,0,3,0,0,0,0,16,0,0,4,0,0
63,640160,10,0,3,7,0,0,0,3,10,0,0,0,0,0
64,266643,9,4,15,3,10,0,0,11,9,0,3,0,0,0
65,1360597,8,8,0,4,0,0,0,12,8,0,0,0,0,0
66,1148660,0,0,16,0,10,0,0,0,0,0,0,5,0,4
67,557100,11,11,0,11,0,5,0,28,8,0,4,0,0,0
68,604450,26,3,0,4,0,0,0,3,26,0,0,4,0,0
69,300554,12,8,0,4,0,3,0,5,12,0,0,0,0,0
70,943707,3,5,0,8,0,0,0,13,3,0,6,5,0,5
71,83447,45,0,0,15,0,4,0,9,39,0,8,7,0,0
72,763941,7,10,0,5,0,0,0,10,7,5,0,0,0,0
73,1802609,10,8,0,11,0,9,0,3,10,0,7,0,0,0
74,922120,3,0,0,3,0,4,0,20,0,5,4,3,0,3
75,1053038,0,11,9,4,8,4,0,3,0,0,0,10,0,5
76,1215831,13,16,33,10,14,5,0,22,13,3,0,11,3,5
77,1412110,5,10,5,4,0,3,0,10,5,0,0,5,0,5
78,1558812,6,0,4,0,0,4,0,15,3,0,0,5,0,5
79,293749,0,3,0,0,0,0,0,16,0,0,4,4,0,0
80,1616417,10,0,9,4,0,0,0,7,10,0,0,3,0,0
81,1522695,12,9,8,13,4,7,0,23,5,0,0,7,0,7
82,1059923,0,10,0,6,0,0,0,15,0,0,0,0,0,0
83,675198,41,9,0,19,3,19,0,33,32,0,4,12,0,9
84,517703,7,0,0,0,0,6,0,13,7,0,0,0,0,0
85,1921898,21,7,0,7,0,7,0,4,21,0,4,0,0,0
86,1290142,3,16,0,9,0,9,0,8,0,0,0,0,0,0
87,1464285,0,16,0,9,0,5,0,5,0,0,0,0,0,0
88,773287,0,17,12,9,9,17,0,10,0,0,8,8,0,0
89,1258482,39,15,0,29,4,12,0,19,31,0,9,7,0,0
90,1681228,9,11,7,9,9,11,0,11,0,0,0,10,0,9
91,899040,0,4,0,0,0,4,0,4,0,0,0,0,0,0
92,512050,4,0,0,4,0,0,0,14,4,0,0,5,0,0
93,1133659,5,15,8,12,5,17,0,21,0,0,0,0,0,0
94,1822535,7,4,0,4,0,5,0,20,0,0,0,0,0,0
95,1211012,0,13,12,10,10,0,0,16,0,0,0,0,0,0
96,224714,8,11,0,3,0,8,0,8,3,3,0,0,0,0
97,962651,3,8,0,0,0,3,0,18,3,3,0,4,0,4
98,504516,19,7,0,0,0,7,0,19,17,0,8,0,0,0
99,276458,3,10,5,14,0,11,0,16,7,0,3,0,0,0
100,494864,0,0,0,0,0,0,0,3,0,0,0,0,0,0
101,1484697,16,0,0,10,0,13,0,7,21,5,0,4,4,0
102,1383,11,0,5,5,0,4,0,0,11,0,0,0,0,0
103,1515789,11,12,0,7,0,22,0,8,8,0,9,0,0,0
104,1430270,8,3,0,0,0,0,0,15,8,0,0,5,0,5
105,1377261,15,9,32,8,17,18,0,23,11,0,3,30,0,11
106,1061066,28,0,0,0,0,0,0,0,28,0,0,0,0,0
107,1543302,8,4,0,18,0,16,0,15,4,0,17,0,0,0
108,876408,4,6,8,3,12,3,0,6,7,0,0,5,0,0
109,440679,34,3,4,4,0,13,0,16,21,0,13,11,0,3
110,1181004,4,4,11,0,0,0,0,16,4,0,0,0,0,0
111,2099010,0,11,0,6,0,8,0,11,0,0,0,0,0,0
112,970043,23,0,0,5,0,0,0,0,23,0,0,0,0,0
113,1021897,13,13,0,15,0,12,0,7,10,0,0,0,0,0
114,1761070,7,17,0,9,0,9,0,5,4,0,0,0,0,0
115,1667690,0,4,9,0,4,0,0,4,0,0,0,5,0,5
116,433021,9,0,0,9,0,7,0,4,9,5,0,0,0,0
117,1385634,0,13,0,10,0,0,0,6,0,0,0,4,0,4
118,595318,16,5,0,4,0,0,0,14,16,0,5,0,0,0
119,1337529,5,15,3,8,0,15,0,14,5,0,7,3,0,6
120,1538193,14,15,4,14,5,23,0,13,9,5,0,16,0,6
121,1303201,45,18,20,19,18,45,0,32,34,0,17,22,0,14
122,1259402,29,8,0,9,0,5,0,3,24,0,0,5,0,0
123,894128,7,0,0,4,0,0,0,9,7,0,4,0,0,0
124,1185713,8,11,0,7,0,0,0,16,5,0,0,0,0,0
125,508372,0,0,0,0,0,0,0,3,0,0,0,0,0,0
126,1283615,15,3,0,7,8,5,0,13,20,0,0,19,7,3
127,1136890,17,12,0,13,0,0,0,15,14,0,0,3,0,0
128,977400,30,15,18,24,4,29,0,16,27,4,4,14,3,8
129,1484095,14,11,17,10,10,11,0,29,3,0,0,28,4,3
130,1212987,8,0,0,0,0,0,0,9,3,0,0,0,0,3
131,1838676,5,15,4,6,0,4,0,5,0,0,0,0,0,0
132,1756579,4,11,0,8,0,0,0,8,4,0,0,0,0,0
133,1797865,8,6,5,11,0,20,0,13,8,0,3,0,0,5
134,1072520,3,11,8,4,5,14,0,12,0,0,0,9,0,8
135,313895,17,9,0,13,4,0,0,12,0,0,0,12,3,0
136,28,34,5,4,25,0,17,0,29,34,0,15,0,0,0
137,1897257,0,0,4,0,0,0,0,0,0,0,0,0,0,0
138,962254,0,0,4,0,0,0,0,0,0,0,0,0,0,0
139,1309446,16,14,20,15,11,5,0,10,12,0,0,16,0,8
140,1193731,21,8,0,13,0,0,0,4,21,0,0,0,0,0
141,1364084,0,16,0,8,0,24,0,16,0,0,0,0,0,0
142,1284324,13,14,3,12,0,3,0,12,13,0,4,4,0,4
143,484982,12,0,0,8,0,3,0,9,15,0,4,8,3,0
144,761785,11,13,4,17,0,0,0,17,11,0,0,0,0,0
145,1850652,14,0,0,8,0,0,0,4,11,0,9,6,3,0
146,879134,0,16,0,8,0,10,0,25,0,0,5,0,0,0
147,768512,36,3,0,13,0,7,0,7,35,5,0,10,0,5
148,476389,31,3,0,23,0,15,0,16,19,0,5,12,0,0
149,947325,4,0,3,3,0,4,0,4,4,0,0,5,0,5
150,1069545,0,5,32,0,8,9,0,0,0,0,0,23,0,4
151,828900,31,0,0,16,0,0,0,7,31,0,7,0,0,0
152,1510102,5,5,13,0,7,0,0,5,0,0,0,22,8,5
153,146229,3,4,0,3,0,9,0,16,3,0,0,4,0,4
154,1209989,3,14,5,15,0,8,0,23,0,0,0,5,0,0
155,1805227,12,18,3,10,0,7,0,18,5,0,0,0,0,0
156,756273,9,3,15,0,8,0,0,3,9,0,0,3,0,0
157,774745,0,0,0,0,0,5,0,5,0,0,0,0,0,0
158,1237528,51,3,15,15,5,19,0,4,49,0,0,53,10,20
159,1978202,17,0,9,5,0,8,0,0,17,0,0,8,5,0
160,1621503,19,8,0,7,0,8,0,3,19,0,3,0,0,0
161,499228,8,5,9,4,0,0,0,22,4,0,3,0,0,0
162,1439422,24,0,0,4,0,0,0,0,24,0,0,0,0,0
163,622630,16,7,0,3,0,14,0,17,16,0,5,3,0,0
164,887813,0,13,0,0,0,13,0,9,0,3,0,5,0,5
165,928820,12,0,10,4,0,0,0,13,12,0,3,0,0,0
166,1276733,17,18,0,16,0,20,0,24,12,0,11,0,0,0
167,1802998,13,17,4,7,0,10,0,20,5,0,0,0,0,0
168,928569,22,16,8,16,8,8,0,9,17,5,0,5,0,0
169,1081939,4,0,3,0,5,0,0,5,0,0,5,3,0,3
170,644270,36,15,16,18,3,31,0,22,30,0,9,16,5,0
171,1186034,3,10,0,12,0,0,0,3,0,0,0,3,3,0
172,1403006,19,12,0,10,0,14,0,11,16,0,0,0,0,0
173,1746036,70,15,0,38,0,26,0,28,66,0,17,23,0,0
174,777778,27,14,3,17,0,19,0,24,17,3,12,7,0,8
175,1813704,33,14,0,24,0,28,0,13,28,0,14,0,0,0
176,941056,13,0,0,0,0,13,0,16,13,0,0,3,0,8
177,1571024,17,12,26,7,4,25,0,26,8,3,4,48,15,17
178,742989,13,10,4,7,0,8,0,14,13,0,0,3,0,0
179,1385786,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,666750,12,5,0,0,0,4,0,9,7,0,0,0,0,0
181,1473220,9,12,8,4,0,3,0,9,5,0,0,8,0,4
182,940733,12,9,0,0,0,5,0,14,8,4,0,4,0,5
183,1158837,9,3,0,3,0,3,0,6,9,0,0,0,0,0
184,488395,8,3,4,4,0,7,0,3,8,0,4,0,0,0
185,320581,3,0,25,9,5,0,0,4,3,3,0,7,0,3
186,512904,21,0,5,13,0,0,0,0,21,0,0,5,0,0
187,759038,21,5,0,11,0,5,0,13,21,0,3,3,0,3
188,562272,20,19,0,29,5,34,0,22,16,0,9,4,0,0
189,1740936,16,0,4,8,0,4,0,10,13,4,0,3,0,3
190,1942118,4,17,0,10,0,9,0,3,0,0,0,3,0,3
191,328980,13,3,5,7,0,0,0,8,10,0,9,3,0,0
192,1017364,13,13,5,20,3,3,0,22,10,0,3,0,0,0
193,1442369,3,0,13,0,10,0,0,0,3,0,0,0,0,0
194,271066,18,0,0,5,0,0,0,5,18,0,0,4,0,0
195,1314933,19,3,0,0,0,0,0,3,19,0,0,0,0,0
196,393930,0,0,0,3,0,0,0,0,0,0,0,0,0,0
197,1355457,27,3,10,9,10,0,0,8,27,0,0,40,12,3
198,161857,15,0,0,10,0,14,0,3,11,4,0,4,0,0
199,1084648,49,10,9,15,8,27,0,13,41,5,7,15,0,8
200,1795635,3,13,3,13,0,7,0,22,3,0,4,0,0,0
201,1097869,11,16,0,13,0,15,0,13,11,0,0,8,0,3
202,696934,24,16,13,24,8,14,0,8,29,0,0,5,0,0
203,1548162,4,0,6,8,0,11,0,14,4,0,6,0,0,0
204,1979095,0,0,16,0,8,0,0,0,0,0,0,8,0,0
205,924125,59,5,0,23,0,26,0,20,52,4,0,22,0,0
206,1726681,5,0,0,0,4,0,0,0,0,0,0,27,11,0
207,485303,20,0,0,0,0,4,0,7,15,0,0,5,0,0
208,600992,22,0,0,0,0,0,0,0,22,0,0,0,0,0
209,1292757,14,5,7,5,0,0,0,5,14,0,0,5,0,8
210,2084652,0,0,0,0,0,4,0,0,0,0,0,0,0,0
211,775904,8,13,0,5,0,5,0,3,8,0,0,0,0,0
212,1969671,0,0,8,0,3,0,0,0,0,0,0,11,4,3
213,1063960,3,5,0,0,0,0,0,15,3,0,0,3,0,3
214,693475,43,9,15,20,3,11,0,25,28,0,5,21,5,0
215,735471,11,15,0,18,0,0,0,11,8,0,6,8,0,5
216,1355132,17,9,18,9,14,32,0,15,16,5,0,26,0,11
217,1751502,0,0,13,0,3,0,0,3,0,3,0,13,0,0
218,769670,4,0,0,0,0,5,0,17,4,0,0,0,0,0
219,1527550,0,16,0,8,3,4,0,4,0,0,0,0,0,0
220,1646234,0,0,0,3,0,0,0,13,0,0,0,4,0,4
221,57,4,0,0,0,0,0,0,0,4,0,0,0,0,0
222,1187764,16,16,0,35,0,30,0,28,18,0,15,0,0,0
223,559369,4,4,4,4,0,3,0,8,4,0,0,0,0,0
224,689730,14,0,0,4,0,0,0,9,11,0,0,0,0,0
225,945038,17,3,0,8,0,0,0,3,17,0,0,0,0,0
226,547302,12,0,0,13,0,4,0,7,8,3,0,0,0,0
227,145369,43,17,0,26,0,9,0,5,50,0,3,3,0,0
228,1369350,13,4,0,7,0,3,0,18,10,0,3,0,0,0
229,692602,9,0,0,0,3,0,0,12,4,0,0,0,0,0
230,1630024,12,17,0,17,0,25,0,22,12,4,0,0,0,0
231,663151,14,5,0,4,0,0,0,5,14,0,0,4,0,0
232,1697931,0,17,0,8,0,16,0,20,0,0,0,0,0,0
233,504945,6,4,0,0,0,9,0,7,6,0,0,0,0,0
234,791058,20,14,0,11,0,15,0,25,12,0,7,5,5,0
235,1562256,12,7,4,9,0,0,0,3,12,0,0,0,0,0
236,1402010,3,0,5,0,0,0,0,0,0,0,0,31,11,0
237,288541,24,4,3,5,6,0,0,14,19,0,5,5,0,0
238,794434,52,22,6,40,0,42,0,39,48,5,20,6,0,9
239,1231600,14,16,0,22,0,16,0,25,4,0,17,4,0,4
240,1132380,0,6,0,0,0,12,0,15,0,0,0,0,0,0
241,470972,25,4,0,0,0,0,0,9,25,0,5,3,0,0
242,1459922,9,3,0,7,0,3,0,0,9,0,4,0,0,0
243,1251843,8,11,8,10,0,11,0,8,8,3,0,0,0,10
244,724898,14,12,10,15,3,11,0,11,14,0,5,3,0,0
245,487155,21,0,0,0,0,0,0,0,21,0,0,0,0,0
246,624248,18,5,0,4,0,0,0,12,13,0,9,3,0,0
247,743896,5,13,0,4,0,9,0,4,0,0,0,0,0,0
248,1872291,11,9,9,8,0,13,0,22,3,0,8,3,0,0
249,2076616,0,10,5,6,5,0,0,18,0,0,0,0,0,0
250,615653,11,0,0,3,0,4,0,15,11,0,3,3,0,0
251,1535513,16,18,3,24,0,23,0,23,12,0,10,3,0,3
252,1290676,32,0,0,4,0,0,0,0,24,0,0,5,0,0
253,1583374,0,4,0,0,0,0,0,14,0,4,0,6,3,0
254,1427485,3,3,0,5,0,5,0,8,3,4,0,0,0,0
255,448535,34,16,0,21,7,35,0,27,27,0,14,34,15,5
256,1207401,68,13,23,37,10,45,0,29,58,4,22,24,0,13
257,1483175,9,11,0,3,0,3,0,14,4,0,4,0,0,0
258,2064387,57,4,23,7,17,5,3,4,37,4,3,47,3,4
259,916174,8,0,3,0,0,0,0,6,8,0,3,0,0,0
260,1746885,9,3,3,7,0,7,0,0,9,5,0,3,0,0
261,1082257,7,0,0,8,0,0,0,0,4,0,4,10,5,0
262,1017156,21,0,21,8,4,4,0,17,17,0,5,17,0,9
263,1137644,36,4,5,5,0,0,0,7,28,0,0,4,0,0
264,1696727,25,15,0,13,0,9,0,19,25,0,4,3,3,0
265,1006134,13,13,0,21,0,7,0,16,6,0,15,0,0,0
266,1010922,3,4,12,0,4,3,0,7,0,0,0,0,0,4
267,1157155,12,0,5,4,0,5,0,5,8,0,0,5,0,0
268,949588,3,0,3,0,0,5,0,4,3,0,0,3,0,3
269,1144896,0,0,0,0,0,0,0,0,0,0,0,21,11,0
270,1208537,13,14,3,7,0,6,0,7,8,0,0,8,4,4
271,1461298,8,4,4,0,0,3,0,4,8,5,0,4,0,4
272,1979217,0,11,0,8,0,0,0,12,0,0,0,0,0,0
273,1464410,28,14,0,21,0,25,0,20,37,0,4,0,0,0
274,1755569,0,11,5,3,0,7,0,12,0,0,7,0,0,0
275,1664634,0,0,5,0,0,0,0,0,0,0,0,0,0,0
276,85625,41,0,0,0,0,9,0,5,32,0,0,19,0,0
277,1889420,3,9,5,5,0,0,0,8,0,0,0,0,0,0
278,1289595,26,17,0,19,0,27,0,13,17,0,0,0,0,0
279,943591,24,16,0,25,0,23,0,23,11,0,3,0,0,0
280,761646,38,20,3,34,5,24,0,34,33,3,19,9,0,5
281,936632,0,0,0,0,0,4,0,4,0,0,0,0,0,0
282,1353472,12,6,9,10,8,14,0,7,12,0,0,8,3,5
283,1158272,45,10,0,34,0,6,0,25,43,0,18,0,0,0
284,984344,8,17,6,17,0,21,0,21,8,5,7,4,0,7
285,937163,12,5,5,19,0,10,0,18,12,0,3,0,0,0
286,1949115,4,14,0,8,0,3,0,3,0,0,0,0,0,0
287,1475474,11,7,0,3,0,0,0,8,11,0,0,0,0,0
288,1675271,8,15,0,10,0,0,0,15,4,3,0,5,0,0
289,630371,9,3,0,4,0,12,0,3,4,0,0,5,0,0
290,728512,24,11,0,18,0,8,0,14,18,5,12,3,0,0
291,1017517,29,4,5,17,5,8,0,4,22,0,9,23,0,4
292,435195,10,0,5,13,0,7,0,3,7,0,4,0,0,0
293,1992337,3,0,0,0,0,5,0,14,0,0,12,0,0,0
294,486106,0,0,0,0,0,0,0,3,0,0,0,0,0,0
295,784519,4,17,18,8,11,14,0,26,0,0,0,7,0,0
296,1789708,0,0,0,0,0,4,0,0,0,0,0,0,0,0
297,1362723,27,3,24,3,17,0,0,19,15,0,0,23,9,0
298,1094891,38,4,0,9,0,0,0,4,33,0,0,0,0,0
299,1577487,0,17,0,8,0,5,0,8,0,0,0,0,0,0
300,828895,27,0,0,16,0,0,0,8,27,0,8,0,0,0
301,1292069,0,4,13,0,14,8,0,0,0,5,0,3,0,3
302,2054643,8,4,0,3,0,9,0,4,8,0,4,0,0,0
303,1209248,9,6,3,11,0,0,0,9,5,0,10,5,0,0
304,560637,26,0,5,9,0,0,0,0,26,0,0,3,0,0
305,1082516,10,9,0,23,0,8,0,5,7,0,8,0,0,0
306,1172748,13,0,3,12,0,4,0,14,10,0,0,5,0,5
307,58646,20,14,0,16,0,7,0,3,19,0,0,4,0,0
308,1309293,3,10,11,8,15,0,0,5,3,4,0,13,0,5
309,1749361,7,4,6,0,8,0,0,8,3,0,0,0,0,0
310,1302803,10,15,22,10,13,19,0,12,3,0,0,14,0,4
311,913736,0,0,0,0,0,4,0,4,0,0,0,0,0,0
312,615578,23,0,0,14,0,5,0,4,31,0,0,4,0,0
313,275479,19,0,0,10,0,11,0,6,18,0,0,0,0,0
314,977723,27,4,0,13,0,4,0,12,22,0,12,0,0,0
315,666803,43,10,0,35,0,0,0,16,40,0,14,0,0,0
316,1697452,6,17,0,21,0,13,0,25,6,0,11,0,0,0
317,1087786,37,0,0,0,0,0,0,0,32,0,0,5,0,0
318,598867,0,0,0,4,0,0,0,0,0,0,0,0,0,0
319,1021600,0,14,0,9,0,9,0,9,0,0,0,0,0,0
320,883153,37,15,3,28,0,29,0,24,24,3,21,10,0,3
321,1449686,12,5,7,7,12,5,0,11,12,0,0,7,0,0
322,918733,0,0,0,0,0,3,0,3,0,0,0,0,0,0
323,660404,0,6,4,0,0,16,0,14,0,3,0,8,0,12
324,915464,61,12,22,35,14,8,0,25,53,0,4,22,0,0
325,1472827,17,5,0,4,0,10,0,23,12,0,4,5,0,4
326,634462,44,5,0,10,0,12,0,18,35,0,11,11,0,0
327,1117849,7,7,4,4,0,0,0,13,7,0,0,4,0,4
328,1832901,0,0,24,0,3,0,0,5,0,0,0,5,5,5
329,1186051,0,17,0,14,0,3,0,16,0,0,0,0,0,0
330,1478632,11,0,0,10,0,12,0,4,16,3,0,0,0,0
331,568429,0,0,5,5,0,10,0,12,0,0,0,0,0,0
332,1651380,16,17,0,17,0,21,0,19,16,4,0,3,0,0
333,569275,27,0,0,0,0,0,0,0,22,0,0,5,0,0
334,920462,0,0,0,0,0,0,0,16,0,0,4,4,0,0
335,1608122,13,0,0,5,0,4,0,8,10,0,0,3,0,3
336,483590,6,5,3,6,0,15,0,18,3,0,0,0,0,0
337,1220938,3,16,0,8,0,14,0,13,0,0,4,0,0,0
338,2003698,32,10,22,15,11,46,0,10,25,3,8,31,5,14
339,1548074,16,14,9,17,5,19,0,5,16,4,0,9,0,10
340,647181,25,18,19,17,8,13,0,11,25,0,0,14,4,8
341,943157,23,21,0,18,0,26,0,29,11,0,0,0,0,0
342,2064484,19,0,0,0,0,0,0,0,19,0,0,0,0,0
343,172084,3,8,0,4,4,8,0,24,3,0,3,5,5,0
344,970117,4,0,0,4,0,0,0,11,4,3,0,0,0,0
345,708096,24,10,0,26,0,11,0,24,25,0,12,5,0,0
346,2061526,8,0,0,0,0,0,0,13,8,0,0,0,0,0
347,984380,51,13,14,37,7,27,0,27,40,3,19,19,4,11
348,179755,24,0,0,4,0,0,0,0,24,0,0,0,0,0
349,889234,18,16,0,16,3,18,0,14,18,5,5,5,0,0
350,1009666,21,9,3,11,0,5,0,4,21,0,0,5,0,5
351,1645284,7,6,3,0,0,12,0,8,3,4,0,4,0,4
352,762884,0,3,4,7,0,5,0,8,0,3,0,0,0,0
353,1062656,0,10,0,4,3,13,0,14,0,0,4,4,0,4
354,1803463,3,7,5,3,0,4,0,6,0,0,0,0,0,0
355,1411082,0,13,0,6,0,3,0,9,0,0,0,4,0,4
356,946488,0,13,0,6,0,12,0,11,0,0,0,0,0,0
357,1751919,0,12,4,5,0,8,0,4,0,4,0,4,0,4
358,359194,0,0,0,0,0,0,0,0,0,4,0,0,0,0
359,1132064,7,6,0,10,0,0,0,3,7,3,0,0,0,0
360,296975,8,5,8,20,0,26,0,28,12,0,10,0,0,0
361,367731,33,13,0,14,0,4,0,18,33,0,7,0,0,0
362,1080859,16,0,0,4,0,0,0,7,16,0,4,5,0,0
363,1267807,3,3,0,7,0,0,0,8,3,0,0,5,0,5
364,1244216,3,9,0,4,0,0,0,8,3,3,0,0,0,0
365,1871925,0,0,13,0,3,0,0,4,0,0,0,7,3,4
366,1208288,0,16,0,10,0,15,0,20,0,0,0,0,0,0
367,1988293,0,0,4,0,4,0,0,0,0,4,0,8,0,12
368,1094366,0,0,0,3,0,5,0,0,0,5,0,5,0,8
369,590871,62,3,0,19,0,20,0,33,56,0,11,14,0,0
370,1008900,0,8,0,0,0,18,0,7,0,0,0,0,0,0
371,1585570,15,0,0,0,0,3,0,9,12,3,5,3,0,6
372,1941449,12,15,13,13,5,14,0,13,12,0,3,11,0,12
373,1456409,12,4,0,4,0,0,0,12,12,0,0,0,0,0
374,621411,0,3,4,8,0,26,0,15,0,0,0,0,0,0
375,1087212,11,6,0,8,0,0,0,14,11,0,0,0,0,0
376,430753,24,0,0,0,0,0,0,0,24,0,0,0,0,0
377,1852388,0,0,17,0,0,7,0,0,0,0,0,14,0,4
378,1001055,8,5,16,15,4,0,0,3,8,0,0,4,0,11
379,979805,16,16,11,17,10,17,0,14,12,0,5,18,0,4
380,1136802,0,0,17,0,16,0,0,0,0,0,0,10,0,3
381,926421,0,0,8,0,0,5,0,9,0,0,5,3,3,0
382,1088477,7,12,0,14,0,4,0,17,4,0,3,0,0,0
383,700212,18,0,0,15,0,0,0,0,22,0,0,4,0,0
384,720210,6,3,3,0,7,4,0,3,10,0,0,5,0,5
385,689617,45,12,0,22,4,4,0,13,37,0,16,5,0,0
386,1525822,8,8,4,3,3,0,0,5,12,0,0,8,0,4
387,1486913,3,8,0,0,0,3,0,11,3,0,0,0,0,0
388,1258580,13,16,4,24,5,37,0,27,3,5,12,9,0,0
389,1008783,20,10,9,6,3,27,0,17,16,4,10,20,5,11
390,1028494,42,3,3,15,0,0,0,0,38,0,3,5,0,0
391,2016630,33,17,14,27,5,25,0,25,27,3,16,16,8,0
392,980576,0,13,0,8,0,12,0,9,0,0,0,0,0,0
393,706000,48,15,19,33,7,20,0,21,53,0,3,25,0,4
394,604217,19,0,0,14,0,3,0,0,25,0,3,0,0,0
395,687821,24,5,0,8,0,0,0,5,24,0,0,0,0,0
396,1892946,24,15,12,11,0,20,0,14,19,0,0,14,0,14
397,993614,0,0,16,4,4,0,0,0,0,0,0,3,3,0
398,1749744,5,13,0,8,0,0,0,16,0,0,0,0,0,0
399,1847478,15,7,0,17,0,12,0,0,15,0,5,13,13,0
400,1075319,0,0,12,4,0,3,0,0,0,3,0,10,4,7
401,1137099,4,0,16,0,12,0,0,0,4,0,0,8,0,0
402,499467,18,0,0,0,0,7,0,4,10,0,0,16,0,0
403,905301,11,12,0,4,0,16,0,5,7,0,0,5,0,5
404,631042,54,0,5,10,0,20,0,19,49,0,3,18,0,0
405,942637,36,4,8,17,8,9,0,7,39,0,0,27,12,0
406,937006,14,0,9,3,0,3,0,10,14,0,5,9,0,5
407,1472260,33,17,23,22,0,31,0,10,23,0,13,22,5,13
408,593620,4,17,0,9,0,4,0,14,4,0,0,0,0,0
409,1936836,15,0,0,10,0,0,0,0,15,0,0,12,12,0
410,1291244,0,0,0,0,0,3,0,0,0,0,0,0,0,0
411,1224073,19,10,14,4,7,12,0,15,19,4,4,0,0,0
